epoch,auc,binary_accuracy,loss,lr,val_auc,val_binary_accuracy,val_loss
0,0.7671406865119934,0.9493408203125,0.1548059731721878,1e-05,0.8081801533699036,0.9495525360107422,0.14817465841770172
1,0.8028183579444885,0.9502222537994385,0.14651250839233398,1e-05,0.8204981684684753,0.949670135974884,0.14650627970695496
2,0.8171362280845642,0.950351357460022,0.14474330842494965,1e-05,0.8237439393997192,0.95025634765625,0.1445387452840805
3,0.8233882188796997,0.9505001306533813,0.14340350031852722,1e-05,0.8334387540817261,0.9505612850189209,0.1438872069120407
4,0.8294357657432556,0.9505982995033264,0.14258457720279694,1e-05,0.8372477293014526,0.9505465030670166,0.14280356466770172
5,0.8363034129142761,0.950689435005188,0.1417200267314911,1e-05,0.8387652635574341,0.9504510164260864,0.14271102845668793
6,0.8385933041572571,0.9509023427963257,0.1409948319196701,1e-05,0.8420901894569397,0.950772225856781,0.141973614692688
7,0.8429470658302307,0.9509814381599426,0.14035700261592865,1e-05,0.8420034050941467,0.9505818486213684,0.14146055281162262
8,0.84577476978302,0.9511288404464722,0.13963457942008972,1e-05,0.8411715626716614,0.9506971836090088,0.1420733481645584
9,0.8466668725013733,0.9512810111045837,0.13917216658592224,1e-05,0.8441252708435059,0.9505020976066589,0.14209775626659393
